volcano,volcanoLabel,elevation,country,countryLabel,coord,mountainRange,mountainRangeLabel
http://www.wikidata.org/entity/Q31454284,Сопка Большой Солнцепек,126,http://www.wikidata.org/entity/Q159,Россия,Point(134.378333333 46.952222222),,
http://www.wikidata.org/entity/Q1062516,Эспаньола,125,http://www.wikidata.org/entity/Q736,Эквадор,Point(-89.683333333 -1.366666666),,
http://www.wikidata.org/entity/Q31454370,Sopka Bol'shaya,124,http://www.wikidata.org/entity/Q159,Россия,Point(133.909444444 46.563055555),,
http://www.wikidata.org/entity/Q31451155,Соляная Сопка,122,http://www.wikidata.org/entity/Q159,Россия,Point(111.5 74.0),,
http://www.wikidata.org/entity/Q23944165,Kara Allumta,122,http://www.wikidata.org/entity/Q986,Эритрея,Point(39.81 14.965555555),,
http://www.wikidata.org/entity/Q31450912,Batapona Mountain,121,http://www.wikidata.org/entity/Q691,Папуа — Новая Гвинея,Point(147.294444444 -2.543055555),,
http://www.wikidata.org/entity/Q31454270,Сопка Голая,115,http://www.wikidata.org/entity/Q159,Россия,Point(131.759722222 43.474444444),,
http://www.wikidata.org/entity/Q1547142,Неа-Камени,114,http://www.wikidata.org/entity/Q41,Греция,Point(25.4 36.4),,
http://www.wikidata.org/entity/Q2044399,Eldborg,112,http://www.wikidata.org/entity/Q189,Исландия,Point(-22.320833333 64.796111111),,
http://www.wikidata.org/entity/Q23944166,Fafah Le,110,http://www.wikidata.org/entity/Q986,Эритрея,Point(39.827222222 14.993055555),,
http://www.wikidata.org/entity/Q108259849,Morro da Piedade,109,http://www.wikidata.org/entity/Q45,Португалия,Point(-16.712333333 32.74225),,
http://www.wikidata.org/entity/Q937167,Рано-Рараку,107,http://www.wikidata.org/entity/Q298,Чили,Point(-109.288888888 -27.121944444),,
http://www.wikidata.org/entity/Q31454365,Сопка Ерёмина,106,http://www.wikidata.org/entity/Q159,Россия,Point(133.893055555 46.186666666),,
http://www.wikidata.org/entity/Q23947663,Dola,105,http://www.wikidata.org/entity/Q986,Эритрея,Point(39.756388888 15.072777777),,
http://www.wikidata.org/entity/Q1419053,Палеа-Камени,98,http://www.wikidata.org/entity/Q41,Греция,Point(25.37863 36.398),,
http://www.wikidata.org/entity/Q31454361,Sopka Kamenistaya,98,http://www.wikidata.org/entity/Q159,Россия,Point(133.82656 46.17554),,
http://www.wikidata.org/entity/Q31454368,Сопка Острая,98,http://www.wikidata.org/entity/Q159,Россия,Point(133.996944444 46.418333333),,
http://www.wikidata.org/entity/Q1638935,Ябука,97,http://www.wikidata.org/entity/Q224,Хорватия,Point(15.460098888 43.091813888),,
http://www.wikidata.org/entity/Q23944160,Gobbay Garo,94,http://www.wikidata.org/entity/Q986,Эритрея,Point(39.886111111 14.982777777),,
http://www.wikidata.org/entity/Q123439094,Lágafell,91,http://www.wikidata.org/entity/Q189,Исландия,Point(-22.53873 63.88057),,
http://www.wikidata.org/entity/Q123439426,Innri-Sandhóll,88,http://www.wikidata.org/entity/Q189,Исландия,Point(-22.32451 63.9016),,
http://www.wikidata.org/entity/Q1950774,Takarunga / Mount Victoria,87,http://www.wikidata.org/entity/Q664,Новая Зеландия,Point(174.799 -36.8266),,
http://www.wikidata.org/entity/Q31449996,Cerro Escalerilla,87,http://www.wikidata.org/entity/Q96,Мексика,Point(-103.705555555 18.783611111),,
http://www.wikidata.org/entity/Q5189097,Кроу-Лагун,84,http://www.wikidata.org/entity/Q16,Канада,Point(-130.233333333 54.7),http://www.wikidata.org/entity/Q660304,Береговые хребты
http://www.wikidata.org/entity/Q21052591,Laguna Seca,82,http://www.wikidata.org/entity/Q811,Никарагуа,Point(-86.653055555 12.378055555),,
http://www.wikidata.org/entity/Q31454279,Сопка Саровские Дачи,80,http://www.wikidata.org/entity/Q159,Россия,Point(134.3539 46.0925),,
http://www.wikidata.org/entity/Q1417843,Ханиш,78,http://www.wikidata.org/entity/Q805,Йемен,Point(42.75 13.75),,
http://www.wikidata.org/entity/Q31445595,Monte Barbaro,70,http://www.wikidata.org/entity/Q38,Италия,Point(14.116666666 40.85),http://www.wikidata.org/entity/Q755123,Флегрейские поля
http://www.wikidata.org/entity/Q123438964,Sandfellshæð,68,http://www.wikidata.org/entity/Q189,Исландия,Point(-22.57548 63.86074),,
http://www.wikidata.org/entity/Q31454308,Сопка Граничная,67,http://www.wikidata.org/entity/Q159,Россия,Point(134.449166666 46.748611111),,
http://www.wikidata.org/entity/Q31454311,Сопка Вострушна,67,http://www.wikidata.org/entity/Q159,Россия,Point(134.164166666 46.841388888),,
http://www.wikidata.org/entity/Q16534783,Ахтанизовская блевака,67,http://www.wikidata.org/entity/Q159,Россия,Point(37.08202222 45.31215556),,
http://www.wikidata.org/entity/Q1037278,Agnano,63,http://www.wikidata.org/entity/Q38,Италия,Point(14.14972222 40.84472222),http://www.wikidata.org/entity/Q755123,Флегрейские поля
http://www.wikidata.org/entity/Q7690242,Taurere / Taylor Hill,57,http://www.wikidata.org/entity/Q664,Новая Зеландия,Point(174.87 -36.8642),,
http://www.wikidata.org/entity/Q31454365,Сопка Ерёмина,53,http://www.wikidata.org/entity/Q159,Россия,Point(133.893055555 46.186666666),,
http://www.wikidata.org/entity/Q1544338,North Head,50,http://www.wikidata.org/entity/Q664,Новая Зеландия,Point(174.81205 -36.827752777),,
http://www.wikidata.org/entity/Q31454274,Сопка Клепочная,49,http://www.wikidata.org/entity/Q159,Россия,Point(131.871111111 43.562222222),,
http://www.wikidata.org/entity/Q6923216,Ричмонд (гора),48,http://www.wikidata.org/entity/Q664,Новая Зеландия,Point(174.839 -36.9326),,
http://www.wikidata.org/entity/Q123439394,Litla-Skógfell,47,http://www.wikidata.org/entity/Q189,Исландия,Point(-22.36684 63.92418),,
http://www.wikidata.org/entity/Q2360498,El Totumo,15,http://www.wikidata.org/entity/Q739,Колумбия,Point(-75.24140278 10.74447222),,
http://www.wikidata.org/entity/Q11691399,Cerro Congo,2.014,http://www.wikidata.org/entity/Q800,Коста-Рика,Point(-84.233333333 10.25),http://www.wikidata.org/entity/Q428530,Центральная Кордильера (Коста-Рика)
http://www.wikidata.org/entity/Q11691399,Cerro Congo,2.014,http://www.wikidata.org/entity/Q800,Коста-Рика,Point(-84.228 10.254),http://www.wikidata.org/entity/Q428530,Центральная Кордильера (Коста-Рика)
http://www.wikidata.org/entity/Q11691399,Cerro Congo,2.014,http://www.wikidata.org/entity/Q800,Коста-Рика,Point(-84.227222222 10.254444444),http://www.wikidata.org/entity/Q428530,Центральная Кордильера (Коста-Рика)
http://www.wikidata.org/entity/Q1783754,Kuwae,-2,http://www.wikidata.org/entity/Q686,Вануату,Point(168.536111111 -16.829166666),,
http://www.wikidata.org/entity/Q1339167,Empedocles,-8,http://www.wikidata.org/entity/Q38,Италия,Point(12.71861111 37.16361111),,
http://www.wikidata.org/entity/Q2530684,Вулкан W,-900,http://www.wikidata.org/entity/Q664,Новая Зеландия,Point(-179.183333 -31.85),,
http://www.wikidata.org/entity/Q24044811,Unnamed volcano,-1300,,,Point(147.78 -3.03),,
http://www.wikidata.org/entity/Q4095705,Бразерз,-1400,http://www.wikidata.org/entity/Q664,Новая Зеландия,Point(179.0675 -34.882167),,
http://www.wikidata.org/entity/Q2401434,Иктунуп,,http://www.wikidata.org/entity/Q159,Россия,Point(160.75 58.083333333),http://www.wikidata.org/entity/Q1429556,Срединный хребет
http://www.wikidata.org/entity/Q2454241,Tristan da Cunha,,http://www.wikidata.org/entity/Q145,Великобритания,Point(-12.285 -37.115),,
http://www.wikidata.org/entity/Q2535356,volcanoes of the Leizhou Peninsula,,http://www.wikidata.org/entity/Q148,Китай,Point(110.16666667 20.5),,
http://www.wikidata.org/entity/Q2604945,Isolation Point,,,,Point(167.5 -78.1833),,
http://www.wikidata.org/entity/Q2638551,Albert Park Volcano,,http://www.wikidata.org/entity/Q664,Новая Зеландия,Point(174.767263 -36.848585),,
http://www.wikidata.org/entity/Q2669883,Тункинская котловина,,http://www.wikidata.org/entity/Q159,Россия,Point(102.5 51.5),,
http://www.wikidata.org/entity/Q2669883,Тункинская котловина,,http://www.wikidata.org/entity/Q159,Россия,Point(103.5 51.5),,
http://www.wikidata.org/entity/Q2827394,Ah Peku Patera,,,,<http://www.wikidata.org/entity/Q3123> Point(107.0 10.3),,
http://www.wikidata.org/entity/Q2841341,Патера Аматерасу,,,,<http://www.wikidata.org/entity/Q3123> Point(306.5 38.1),,
http://www.wikidata.org/entity/Q2844426,Патера Амфитриты,,,,<http://www.wikidata.org/entity/Q111> Point(60.87 -58.7),,
http://www.wikidata.org/entity/Q1630952,Патомский кратер,,http://www.wikidata.org/entity/Q159,Россия,Point(116.58944444 59.28472222),http://www.wikidata.org/entity/Q252993,Патомское нагорье
http://www.wikidata.org/entity/Q1730511,Randecker Maar,,http://www.wikidata.org/entity/Q183,Германия,Point(9.523 48.5742),,
http://www.wikidata.org/entity/Q1751428,Прометей,,,,<http://www.wikidata.org/entity/Q3123> Point(153.94 -1.52),,
http://www.wikidata.org/entity/Q1752422,Pukekawa,,http://www.wikidata.org/entity/Q664,Новая Зеландия,Point(174.775 -36.857),,
http://www.wikidata.org/entity/Q1869504,Longgang volcano group,,http://www.wikidata.org/entity/Q148,Китай,Point(126.5 42.33333333),,
http://www.wikidata.org/entity/Q1894467,Marduk,,,,<http://www.wikidata.org/entity/Q3123> Point(209.9 -29.64),,
http://www.wikidata.org/entity/Q1950728,Rarotonga / Mount Smart,,http://www.wikidata.org/entity/Q664,Новая Зеландия,Point(174.8125 -36.918333333),,
