constellation,constellationLabel,area,abbreviation,neighborConstellationsLabel
http://www.wikidata.org/entity/Q10508,Циркуль,93,Cir,Южный Треугольник
http://www.wikidata.org/entity/Q10508,Циркуль,93,Cir,Муха
http://www.wikidata.org/entity/Q10508,Циркуль,93,Cir,Райская Птица
http://www.wikidata.org/entity/Q10508,Циркуль,93,Cir,Волк
http://www.wikidata.org/entity/Q10508,Циркуль,93,Cir,Наугольник
http://www.wikidata.org/entity/Q10511,Персей,615,Per,Жираф
http://www.wikidata.org/entity/Q10511,Персей,615,Per,Андромеда
http://www.wikidata.org/entity/Q10511,Персей,615,Per,Кассиопея
http://www.wikidata.org/entity/Q10511,Персей,615,Per,Возничий
http://www.wikidata.org/entity/Q10511,Персей,615,Per,Треугольник
http://www.wikidata.org/entity/Q10511,Персей,615,Per,Телец
http://www.wikidata.org/entity/Q10511,Персей,615,Per,Овен
http://www.wikidata.org/entity/Q10513,Стрела,80,Sge,Дельфин
http://www.wikidata.org/entity/Q10513,Стрела,80,Sge,Геркулес
http://www.wikidata.org/entity/Q10513,Стрела,80,Sge,Лисичка
http://www.wikidata.org/entity/Q10513,Стрела,80,Sge,Орёл
http://www.wikidata.org/entity/Q10515,Павлин,378,Pav,Жертвенник
http://www.wikidata.org/entity/Q10515,Павлин,378,Pav,Индеец
http://www.wikidata.org/entity/Q10515,Павлин,378,Pav,Октант
http://www.wikidata.org/entity/Q10515,Павлин,378,Pav,Райская Птица
http://www.wikidata.org/entity/Q10515,Павлин,378,Pav,Телескоп
http://www.wikidata.org/entity/Q10580,Весы,538,Lib,Гидра
http://www.wikidata.org/entity/Q10582,Наугольник,165,Nor,Скорпион
http://www.wikidata.org/entity/Q10582,Наугольник,165,Nor,Жертвенник
http://www.wikidata.org/entity/Q10582,Наугольник,165,Nor,Южный Треугольник
http://www.wikidata.org/entity/Q10582,Наугольник,165,Nor,Циркуль
http://www.wikidata.org/entity/Q10582,Наугольник,165,Nor,Волк
http://www.wikidata.org/entity/Q10586,Орёл,652.5,Aql,Стрелец
http://www.wikidata.org/entity/Q10586,Орёл,652.5,Aql,Змееносец
http://www.wikidata.org/entity/Q10586,Орёл,652.5,Aql,Змея
http://www.wikidata.org/entity/Q10586,Орёл,652.5,Aql,Дельфин
http://www.wikidata.org/entity/Q10586,Орёл,652.5,Aql,Геркулес
http://www.wikidata.org/entity/Q10586,Орёл,652.5,Aql,Стрела
http://www.wikidata.org/entity/Q10586,Орёл,652.5,Aql,Щит
http://www.wikidata.org/entity/Q10586,Орёл,652.5,Aql,Козерог
http://www.wikidata.org/entity/Q10586,Орёл,652.5,Aql,Водолей
http://www.wikidata.org/entity/Q2211961,Sah,,,
http://www.wikidata.org/entity/Q2429974,Q2429974,,,
http://www.wikidata.org/entity/Q3238710,Рохини (накшатра),,,
http://www.wikidata.org/entity/Q4158896,Императорская держава,,Pomum,Водолей
http://www.wikidata.org/entity/Q4158896,Императорская держава,,Pomum,Орёл
http://www.wikidata.org/entity/Q10725612,Q10725612,,,
http://www.wikidata.org/entity/Q10939525,Left Wall of the Heavenly Market Enclosure,,,
http://www.wikidata.org/entity/Q97183299,Gladii Electorales Saxonici,,,
http://www.wikidata.org/entity/Q109360820,Sciurus Volans,,,
http://www.wikidata.org/entity/Q109600507,Marmor Sculptile,,,
http://www.wikidata.org/entity/Q132110903,Q132110903,,,
http://www.wikidata.org/entity/Q136438369,Q136438369,,,
http://www.wikidata.org/entity/Q10517,Ворон,184,Crv,Дева
http://www.wikidata.org/entity/Q10517,Ворон,184,Crv,Чаша
http://www.wikidata.org/entity/Q10517,Ворон,184,Crv,Гидра
http://www.wikidata.org/entity/Q10519,Лисичка,268,Vul,Пегас
http://www.wikidata.org/entity/Q10519,Лисичка,268,Vul,Лебедь
