constellation,constellationLabel,area,abbreviation,neighborConstellationsLabel
http://www.wikidata.org/entity/Q8865,Скорпион,497,Sco,Весы
http://www.wikidata.org/entity/Q8865,Скорпион,497,Sco,Наугольник
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,Скорпион
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,Змееносец
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,Змея
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,Южная Корона
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,Индеец
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,Микроскоп
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,Щит
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,Козерог
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,Телескоп
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,Орёл
http://www.wikidata.org/entity/Q8906,Змееносец,948,Oph,Скорпион
http://www.wikidata.org/entity/Q8906,Змееносец,948,Oph,Стрелец
http://www.wikidata.org/entity/Q8906,Змееносец,948,Oph,Змея
http://www.wikidata.org/entity/Q8906,Змееносец,948,Oph,Геркулес
http://www.wikidata.org/entity/Q8906,Змееносец,948,Oph,Весы
http://www.wikidata.org/entity/Q8906,Змееносец,948,Oph,Орёл
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,Волопас
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,Дева
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,Стрелец
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,Змееносец
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,Северная Корона
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,Геркулес
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,Щит
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,Весы
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,Орёл
http://www.wikidata.org/entity/Q8913,Печь,397.5,For,Кит
http://www.wikidata.org/entity/Q8913,Печь,397.5,For,Скульптор
http://www.wikidata.org/entity/Q8913,Печь,397.5,For,Эридан
