constellation,constellationLabel,area,abbreviation,neighborConstellations
http://www.wikidata.org/entity/Q10580,Весы,538,Lib,http://www.wikidata.org/entity/Q8910
http://www.wikidata.org/entity/Q10580,Весы,538,Lib,http://www.wikidata.org/entity/Q10571
http://www.wikidata.org/entity/Q10580,Весы,538,Lib,http://www.wikidata.org/entity/Q10578
http://www.wikidata.org/entity/Q10582,Наугольник,165,Nor,http://www.wikidata.org/entity/Q8865
http://www.wikidata.org/entity/Q10582,Наугольник,165,Nor,http://www.wikidata.org/entity/Q9253
http://www.wikidata.org/entity/Q10582,Наугольник,165,Nor,http://www.wikidata.org/entity/Q10422
http://www.wikidata.org/entity/Q10582,Наугольник,165,Nor,http://www.wikidata.org/entity/Q10508
http://www.wikidata.org/entity/Q10582,Наугольник,165,Nor,http://www.wikidata.org/entity/Q10571
http://www.wikidata.org/entity/Q10586,Орёл,652.5,Aql,http://www.wikidata.org/entity/Q8866
http://www.wikidata.org/entity/Q10586,Орёл,652.5,Aql,http://www.wikidata.org/entity/Q8906
http://www.wikidata.org/entity/Q10586,Орёл,652.5,Aql,http://www.wikidata.org/entity/Q8910
http://www.wikidata.org/entity/Q10586,Орёл,652.5,Aql,http://www.wikidata.org/entity/Q9302
http://www.wikidata.org/entity/Q10586,Орёл,652.5,Aql,http://www.wikidata.org/entity/Q10448
http://www.wikidata.org/entity/Q10586,Орёл,652.5,Aql,http://www.wikidata.org/entity/Q10513
http://www.wikidata.org/entity/Q10586,Орёл,652.5,Aql,http://www.wikidata.org/entity/Q10529
http://www.wikidata.org/entity/Q10586,Орёл,652.5,Aql,http://www.wikidata.org/entity/Q10535
http://www.wikidata.org/entity/Q10586,Орёл,652.5,Aql,http://www.wikidata.org/entity/Q10576
http://www.wikidata.org/entity/Q2211961,Q2211961,,,
http://www.wikidata.org/entity/Q2429974,Q2429974,,,
http://www.wikidata.org/entity/Q3238710,Рохини (накшатра),,,
http://www.wikidata.org/entity/Q4158896,Императорская держава,,Pomum,http://www.wikidata.org/entity/Q10576
http://www.wikidata.org/entity/Q4158896,Императорская держава,,Pomum,http://www.wikidata.org/entity/Q10586
http://www.wikidata.org/entity/Q10725612,Q10725612,,,
http://www.wikidata.org/entity/Q10939525,Q10939525,,,
http://www.wikidata.org/entity/Q97183299,Q97183299,,,
http://www.wikidata.org/entity/Q109360820,Q109360820,,,
http://www.wikidata.org/entity/Q109600507,Q109600507,,,
http://www.wikidata.org/entity/Q132110903,Q132110903,,,
http://www.wikidata.org/entity/Q136438369,Q136438369,,,
