constellation,constellationLabel,area,abbreviation,neighborConstellations
http://www.wikidata.org/entity/Q9305,Малый Пёс,183,CMi,http://www.wikidata.org/entity/Q8923
http://www.wikidata.org/entity/Q9305,Малый Пёс,183,CMi,http://www.wikidata.org/entity/Q10428
http://www.wikidata.org/entity/Q9305,Малый Пёс,183,CMi,http://www.wikidata.org/entity/Q10578
http://www.wikidata.org/entity/Q10403,Малый Лев,232,LMi,http://www.wikidata.org/entity/Q8849
http://www.wikidata.org/entity/Q10403,Малый Лев,232,LMi,http://www.wikidata.org/entity/Q8853
http://www.wikidata.org/entity/Q10403,Малый Лев,232,LMi,http://www.wikidata.org/entity/Q8918
http://www.wikidata.org/entity/Q10403,Малый Лев,232,LMi,http://www.wikidata.org/entity/Q10443
http://www.wikidata.org/entity/Q10406,Северная Корона,179,CrB,http://www.wikidata.org/entity/Q8667
http://www.wikidata.org/entity/Q10406,Северная Корона,179,CrB,http://www.wikidata.org/entity/Q8910
http://www.wikidata.org/entity/Q10406,Северная Корона,179,CrB,http://www.wikidata.org/entity/Q10448
http://www.wikidata.org/entity/Q10409,Южная Рыба,245,PsA,http://www.wikidata.org/entity/Q9286
http://www.wikidata.org/entity/Q10409,Южная Рыба,245,PsA,http://www.wikidata.org/entity/Q10492
http://www.wikidata.org/entity/Q10409,Южная Рыба,245,PsA,http://www.wikidata.org/entity/Q10535
http://www.wikidata.org/entity/Q10409,Южная Рыба,245,PsA,http://www.wikidata.org/entity/Q10563
http://www.wikidata.org/entity/Q10409,Южная Рыба,245,PsA,http://www.wikidata.org/entity/Q10576
http://www.wikidata.org/entity/Q10413,Южная Корона,128,CrA,http://www.wikidata.org/entity/Q8865
http://www.wikidata.org/entity/Q10413,Южная Корона,128,CrA,http://www.wikidata.org/entity/Q8866
http://www.wikidata.org/entity/Q10413,Южная Корона,128,CrA,http://www.wikidata.org/entity/Q9253
http://www.wikidata.org/entity/Q10413,Южная Корона,128,CrA,http://www.wikidata.org/entity/Q10546
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,http://www.wikidata.org/entity/Q8837
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,http://www.wikidata.org/entity/Q9289
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,http://www.wikidata.org/entity/Q10433
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,http://www.wikidata.org/entity/Q10441
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,http://www.wikidata.org/entity/Q10498
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,http://www.wikidata.org/entity/Q10503
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,http://www.wikidata.org/entity/Q10567
