star,starLabel,constellation,constellationLabel,starTypeLabel
http://www.wikidata.org/entity/Q81137016,2MASS J00420626+8519173,http://www.wikidata.org/entity/Q696260,NGC 188,переменная звезда
http://www.wikidata.org/entity/Q81137868,V761 Цефея,http://www.wikidata.org/entity/Q696260,NGC 188,переменная звезда
http://www.wikidata.org/entity/Q81138142,2MASS J00543099+8522396,http://www.wikidata.org/entity/Q696260,NGC 188,переменная звезда
http://www.wikidata.org/entity/Q81143419,V855 Единорога,http://www.wikidata.org/entity/Q1048061,NGC 2301,переменная звезда
http://www.wikidata.org/entity/Q81148109,TYC 148-2577-1,http://www.wikidata.org/entity/Q3958837,Sh2-284,переменная звезда
http://www.wikidata.org/entity/Q81148109,TYC 148-2577-1,http://www.wikidata.org/entity/Q66630474,C 0642+003,переменная звезда
http://www.wikidata.org/entity/Q81151819,GSC 00148-02486,http://www.wikidata.org/entity/Q66630474,C 0642+003,переменная звезда
http://www.wikidata.org/entity/Q81284529,AN Северной Короны,http://www.wikidata.org/entity/Q1195678,Движущаяся группа звёзд Большой Медведицы,переменная звезда
http://www.wikidata.org/entity/Q81435283,GY Волопаса,http://www.wikidata.org/entity/Q1049735,Движущаяся группа звёзд Кастора,переменная звезда
http://www.wikidata.org/entity/Q81439292,BK Волопаса,http://www.wikidata.org/entity/Q1120021,NGC 5466,переменная звезда
http://www.wikidata.org/entity/Q81649613,[CCG2013b] V8,http://www.wikidata.org/entity/Q3249403,Андромеда XIX,переменная звезда
http://www.wikidata.org/entity/Q81649705,PSN J07572882-1913395,http://www.wikidata.org/entity/Q67858079,ESO 561-3,переменная звезда
http://www.wikidata.org/entity/Q81649950,[CCG2013b] V3,http://www.wikidata.org/entity/Q3249403,Андромеда XIX,переменная звезда
http://www.wikidata.org/entity/Q81650824,[CCG2013b] V36,http://www.wikidata.org/entity/Q3249403,Андромеда XIX,переменная звезда
http://www.wikidata.org/entity/Q81651177,[CCG2013b] V5,http://www.wikidata.org/entity/Q3249403,Андромеда XIX,переменная звезда
http://www.wikidata.org/entity/Q81651882,[CCG2013b] V24,http://www.wikidata.org/entity/Q3249403,Андромеда XIX,переменная звезда
http://www.wikidata.org/entity/Q81652821,[CCG2013b] V19,http://www.wikidata.org/entity/Q3249403,Андромеда XIX,переменная звезда
http://www.wikidata.org/entity/Q81652909,[CCG2013b] V20,http://www.wikidata.org/entity/Q3249403,Андромеда XIX,переменная звезда
http://www.wikidata.org/entity/Q81653874,[CCG2013b] V32,http://www.wikidata.org/entity/Q3249403,Андромеда XIX,переменная звезда
http://www.wikidata.org/entity/Q81659943,CD-49 3379,http://www.wikidata.org/entity/Q1049647,NGC 2547,переменная звезда
http://www.wikidata.org/entity/Q81663046,CD-48 3526,http://www.wikidata.org/entity/Q1049647,NGC 2547,переменная звезда
http://www.wikidata.org/entity/Q81663123,CD-48 3533,http://www.wikidata.org/entity/Q1049647,NGC 2547,переменная звезда
http://www.wikidata.org/entity/Q81667216,CD-49 3384,http://www.wikidata.org/entity/Q1049647,NGC 2547,переменная звезда
http://www.wikidata.org/entity/Q81695139,KOI-7607,http://www.wikidata.org/entity/Q1147831,NGC 6811,переменная звезда
http://www.wikidata.org/entity/Q81830429,Cl* NGC 6205 GBF 10848,http://www.wikidata.org/entity/Q11312,M 13,переменная звезда
http://www.wikidata.org/entity/Q81860825,HD 107877,http://www.wikidata.org/entity/Q2476549,Карликовая галактика в созвездии Волосы Вероники,переменная звезда
http://www.wikidata.org/entity/Q81860825,HD 107877,http://www.wikidata.org/entity/Q84275359,Мелотт 111,переменная звезда
http://www.wikidata.org/entity/Q81865832,HD 108226,http://www.wikidata.org/entity/Q2476549,Карликовая галактика в созвездии Волосы Вероники,переменная звезда
http://www.wikidata.org/entity/Q81865832,HD 108226,http://www.wikidata.org/entity/Q84275359,Мелотт 111,переменная звезда
http://www.wikidata.org/entity/Q81940933,V437 Единорога,http://www.wikidata.org/entity/Q226134,скопление Снежинки,переменная звезда
http://www.wikidata.org/entity/Q82102840,Cl* NGC 6541 HAZ V2,http://www.wikidata.org/entity/Q377467,NGC 6541,переменная звезда
http://www.wikidata.org/entity/Q82147650,Cl* NGC 6705 KKR 10161,http://www.wikidata.org/entity/Q11294,скопление Дикая Утка,переменная звезда
http://www.wikidata.org/entity/Q82570034,V339 Единорога B,http://www.wikidata.org/entity/Q226134,скопление Снежинки,переменная звезда
http://www.wikidata.org/entity/Q82669003,2MASS J06071884+2401400,http://www.wikidata.org/entity/Q818603,NGC 2158,переменная звезда
http://www.wikidata.org/entity/Q82669147,Cl* NGC 2158 MSS V77,http://www.wikidata.org/entity/Q818603,NGC 2158,переменная звезда
http://www.wikidata.org/entity/Q82801826,[POS2011] SE25 V10,http://www.wikidata.org/entity/Q13724,галактика Треугольника,переменная звезда
http://www.wikidata.org/entity/Q82819558,Cl* NGC 5139 LEID 46312,http://www.wikidata.org/entity/Q14275,омега Центавра,переменная звезда
http://www.wikidata.org/entity/Q83170556,S Южной Короны B,http://www.wikidata.org/entity/Q22086934,S Южной Короны,переменная звезда
http://www.wikidata.org/entity/Q83234596,MN Единорога,http://www.wikidata.org/entity/Q226134,скопление Снежинки,переменная звезда
http://www.wikidata.org/entity/Q83237090,HD 295601B,http://www.wikidata.org/entity/Q67859230,HD 295601,переменная звезда
http://www.wikidata.org/entity/Q83248541,[LDB2002] 790,http://www.wikidata.org/entity/Q622789,Barnard's galaxy,переменная звезда
http://www.wikidata.org/entity/Q83261356,Cl* NGC 2682 FBC 3627,http://www.wikidata.org/entity/Q13997,Messier 67,переменная звезда
http://www.wikidata.org/entity/Q83290438,2MASS J02221792+5706482,http://www.wikidata.org/entity/Q33571,NGC 884,переменная звезда
http://www.wikidata.org/entity/Q83294744,[CBH2015] V321,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83294751,Cl* NGC 2099 HGH V337,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83465305,HD 115371,http://www.wikidata.org/entity/Q67856760,Lower Centaurus-Crux,переменная звезда
http://www.wikidata.org/entity/Q83590843,Cl* NGC 6791 KR V50,http://www.wikidata.org/entity/Q933252,NGC 6791,переменная звезда
http://www.wikidata.org/entity/Q83592162,[TGM2014] 33022,http://www.wikidata.org/entity/Q933252,NGC 6791,переменная звезда
http://www.wikidata.org/entity/Q83598584,Cl* NGC 6791 KR V47,http://www.wikidata.org/entity/Q933252,NGC 6791,переменная звезда
http://www.wikidata.org/entity/Q83599479,Cl* NGC 6791 KR V57,http://www.wikidata.org/entity/Q933252,NGC 6791,переменная звезда
http://www.wikidata.org/entity/Q83611759,Cl* NGC 1904 SAW V34,http://www.wikidata.org/entity/Q14019,Messier 79,переменная звезда
http://www.wikidata.org/entity/Q83615017,2MASS J05132085-6958254,http://www.wikidata.org/entity/Q49957,Большое Магелланово Облако,переменная звезда
