star,starLabel,constellation,constellationLabel,starTypeLabel
http://www.wikidata.org/entity/Q77579270,V542 Киля,http://www.wikidata.org/entity/Q50050,IC 2602,переменная звезда
http://www.wikidata.org/entity/Q77586061,V562 Киля,http://www.wikidata.org/entity/Q50050,IC 2602,переменная звезда
http://www.wikidata.org/entity/Q77592321,V546 Киля,http://www.wikidata.org/entity/Q50050,IC 2602,переменная звезда
http://www.wikidata.org/entity/Q77594832,CPD-59 2619,http://www.wikidata.org/entity/Q9361909,Трюмплер 16,переменная звезда
http://www.wikidata.org/entity/Q77629944,ASAS J132605-4723.7,http://www.wikidata.org/entity/Q14275,омега Центавра,переменная звезда
http://www.wikidata.org/entity/Q78858686,CoRoT 105729575,http://www.wikidata.org/entity/Q2738662,IC 4756,переменная звезда
http://www.wikidata.org/entity/Q78865751,CoRoT 105906837,http://www.wikidata.org/entity/Q2738662,IC 4756,переменная звезда
http://www.wikidata.org/entity/Q78866387,CoRoT 105476548,http://www.wikidata.org/entity/Q2738662,IC 4756,переменная звезда
http://www.wikidata.org/entity/Q78868243,CoRoT 105476699,http://www.wikidata.org/entity/Q2738662,IC 4756,переменная звезда
http://www.wikidata.org/entity/Q78868407,CoRoT 105435427,http://www.wikidata.org/entity/Q2738662,IC 4756,переменная звезда
http://www.wikidata.org/entity/Q78868494,CoRoT 105635439,http://www.wikidata.org/entity/Q2738662,IC 4756,переменная звезда
http://www.wikidata.org/entity/Q78868581,CoRoT 105519170,http://www.wikidata.org/entity/Q2738662,IC 4756,переменная звезда
