star,starLabel,constellation,constellationLabel,starType,starTypeLabel
http://www.wikidata.org/entity/Q78870898,Q78870898,http://www.wikidata.org/entity/Q2738662,IC 4756,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q79101663,Q79101663,http://www.wikidata.org/entity/Q899854,Q899854,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q78950638,Q78950638,http://www.wikidata.org/entity/Q1145815,Q1145815,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q79098030,Q79098030,http://www.wikidata.org/entity/Q14276,47 Тукана,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q79115770,Q79115770,http://www.wikidata.org/entity/Q899854,Q899854,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q78953402,Q78953402,http://www.wikidata.org/entity/Q1235956,Q1235956,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q78934950,V687 Единорога,http://www.wikidata.org/entity/Q78930079,VY Единорога,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q79100769,Q79100769,http://www.wikidata.org/entity/Q899854,Q899854,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q79105990,Q79105990,http://www.wikidata.org/entity/Q14276,47 Тукана,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q78949624,Q78949624,http://www.wikidata.org/entity/Q1117227,Q1117227,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q78954311,Q78954311,http://www.wikidata.org/entity/Q1235956,Q1235956,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q79099544,Q79099544,http://www.wikidata.org/entity/Q14276,47 Тукана,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q79138169,Q79138169,http://www.wikidata.org/entity/Q14021,Messier 80,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q79108407,Q79108407,http://www.wikidata.org/entity/Q14276,47 Тукана,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q79111411,Q79111411,http://www.wikidata.org/entity/Q14276,47 Тукана,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q79141635,Q79141635,http://www.wikidata.org/entity/Q14021,Messier 80,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q79140423,Q79140423,http://www.wikidata.org/entity/Q737840,Q737840,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q79104814,Q79104814,http://www.wikidata.org/entity/Q14276,47 Тукана,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q78953132,Q78953132,http://www.wikidata.org/entity/Q1235956,Q1235956,http://www.wikidata.org/entity/Q6243,переменная звезда
