star,starLabel,constellation
http://www.wikidata.org/entity/Q1349503,Q1349503,http://www.wikidata.org/entity/Q1014842
http://www.wikidata.org/entity/Q1366043,AU Микроскопа,http://www.wikidata.org/entity/Q1014842
http://www.wikidata.org/entity/Q1366043,AU Микроскопа,http://www.wikidata.org/entity/Q2253769
http://www.wikidata.org/entity/Q1370333,V1581 Лебедя,http://www.wikidata.org/entity/Q67622019
http://www.wikidata.org/entity/Q1402536,HD 50554,http://www.wikidata.org/entity/Q1065564
http://www.wikidata.org/entity/Q1414755,Танийа Северная,http://www.wikidata.org/entity/Q7264596
http://www.wikidata.org/entity/Q1418245,Q1418245,http://www.wikidata.org/entity/Q33187
http://www.wikidata.org/entity/Q1418245,Q1418245,http://www.wikidata.org/entity/Q85572617
http://www.wikidata.org/entity/Q1460292,HD 130322,http://www.wikidata.org/entity/Q94879
http://www.wikidata.org/entity/Q1460292,HD 130322,http://www.wikidata.org/entity/Q2253769
http://www.wikidata.org/entity/Q1485718,Q1485718,http://www.wikidata.org/entity/Q1065564
http://www.wikidata.org/entity/Q1519496,HD 118203,http://www.wikidata.org/entity/Q113711194
http://www.wikidata.org/entity/Q1521082,Q1521082,http://www.wikidata.org/entity/Q83416351
http://www.wikidata.org/entity/Q1531407,MN Большой Медведицы,http://www.wikidata.org/entity/Q2253769
http://www.wikidata.org/entity/Q1531407,MN Большой Медведицы,http://www.wikidata.org/entity/Q75208624
http://www.wikidata.org/entity/Q1536950,лямбда Геркулеса,http://www.wikidata.org/entity/Q10939525
http://www.wikidata.org/entity/Q1542929,Талита Южная,http://www.wikidata.org/entity/Q7264596
http://www.wikidata.org/entity/Q1547638,V4046 Стрельца,http://www.wikidata.org/entity/Q1014842
http://www.wikidata.org/entity/Q1562751,Домбай,http://www.wikidata.org/entity/Q113711194
http://www.wikidata.org/entity/Q1563074,HD 102195,http://www.wikidata.org/entity/Q2253769
http://www.wikidata.org/entity/Q1563085,Q1563085,http://www.wikidata.org/entity/Q1065564
http://www.wikidata.org/entity/Q1563145,Q1563145,http://www.wikidata.org/entity/Q76703379
http://www.wikidata.org/entity/Q1563149,Q1563149,http://www.wikidata.org/entity/Q841193
http://www.wikidata.org/entity/Q1563167,Q1563167,http://www.wikidata.org/entity/Q1195678
http://www.wikidata.org/entity/Q1563195,Q1563195,http://www.wikidata.org/entity/Q77840143
http://www.wikidata.org/entity/Q1563258,Q1563258,http://www.wikidata.org/entity/Q93943754
http://www.wikidata.org/entity/Q1563359,HD 49674,http://www.wikidata.org/entity/Q921254
http://www.wikidata.org/entity/Q1563369,Q1563369,http://www.wikidata.org/entity/Q1065564
http://www.wikidata.org/entity/Q1563414,Q1563414,http://www.wikidata.org/entity/Q81657222
http://www.wikidata.org/entity/Q1563446,HD 89744,http://www.wikidata.org/entity/Q94879
http://www.wikidata.org/entity/Q1563446,HD 89744,http://www.wikidata.org/entity/Q2253769
http://www.wikidata.org/entity/Q1565887,Q1565887,http://www.wikidata.org/entity/Q66477145
http://www.wikidata.org/entity/Q1748534,Q1748534,http://www.wikidata.org/entity/Q83615476
http://www.wikidata.org/entity/Q5176843,Q5176843,http://www.wikidata.org/entity/Q1072618
http://www.wikidata.org/entity/Q5176843,Q5176843,http://www.wikidata.org/entity/Q67856749
http://www.wikidata.org/entity/Q5177182,Psi1 Piscium A,http://www.wikidata.org/entity/Q66477112
http://www.wikidata.org/entity/Q5177491,эпсилон Компаса,http://www.wikidata.org/entity/Q76498158
http://www.wikidata.org/entity/Q5177897,мю² Скорпиона,http://www.wikidata.org/entity/Q67856755
http://www.wikidata.org/entity/Q5178512,Q5178512,http://www.wikidata.org/entity/Q94879
